scenario_id,type,title,phase,related_requirements,proof_surface,claim_boundary,expected_result,verification_method,owner,status,evidence_required
CS-CH-030,MUST_PASS,Require evidence policy and authorized approval,CH-4,IR-11;IR-18,local_fixture,deterministic local fixture evidence only; no live-provider production or human-acceptance claim,Missing safety gate denies execution with precise cause and zero external calls,Combinatorial negative tests,AI,PASS,reports/scenario/connector-contract-adapter/scenarios/CS-CH-030.json
CS-CH-031,MUST_PASS,Execute a declared Action and re-ingest its outcome,CH-4,IR-11;IR-17;IR-18,local_fixture,deterministic local fixture evidence only; no live-provider production or human-acceptance claim,Approved declared Action executes once and outcome is re-ingested as evidence,Fixture integration test and human live gate,AI,PASS,reports/scenario/connector-contract-adapter/scenarios/CS-CH-031.json
CS-CH-032,REGRESSION_GUARD,Deny undeclared Actions and direct provider bypass,CH-4,IR-02;IR-09;IR-10;IR-11,local_fixture,deterministic local fixture evidence only; no live-provider production or human-acceptance claim,Backend denies undeclared action or direct provider access and exposes no client or secret,Static scan and negative tests,AI,PASS,reports/scenario/connector-contract-adapter/scenarios/CS-CH-032.json
CS-CH-033,MUST_PASS,Make retries idempotent and expose compensation,CH-4,IR-07;IR-11,local_fixture,deterministic local fixture evidence only; no live-provider production or human-acceptance claim,Same idempotency key returns existing result and conflicting intent is rejected,Idempotency concurrency tests,AI,PASS,reports/scenario/connector-contract-adapter/scenarios/CS-CH-033.json
CS-CH-034,MUST_PASS,Bind every connector app Delivery and Watch to owner and namespace,CH-1,IR-04;IR-18,local_fixture,deterministic local fixture evidence only; no live-provider production or human-acceptance claim,Connector objects and results remain scoped with no cross-namespace leak,Local scope-isolation matrix and durable-state checks; production DB RLS NOT_VERIFIED,AI,PASS,reports/scenario/connector-contract-adapter/scenarios/CS-CH-034.json
CS-CH-035,REGRESSION_GUARD,Keep credentials exclusively inside ConnectorHub,CH-1,IR-09;IR-13,local_fixture,deterministic local fixture evidence only; no live-provider production or human-acceptance claim,Only credential refs fingerprints and status are visible in Product outputs,Local credential lifecycle custody commands seeded canary scan and static provider-auth import scan; production secret backend NOT_VERIFIED,AI,PASS,reports/scenario/connector-contract-adapter/scenarios/CS-CH-035.json
CS-CH-036,MUST_PASS,Enforce default-deny egress around ConnectorHub and tools,CH-1,IR-10;IR-18,local_vs2_topology,current reusable local VS2 topology evidence only; no production network readiness claim,Unauthorized egress attempts are blocked and logged under current VS2 local topology; production network topology NOT_VERIFIED,Current reusable VS2 local proof with Docker internal-network boundary controlled provider sink governed proxy redirect DNS sandbox audit and no-secret checks,AI,PASS,reports/scenario/connector-contract-adapter/scenarios/CS-CH-036.json
CS-CH-037,MUST_PASS,Correlate connector audit with CornerStone audit,CH-1,IR-17;IR-18,local_fixture,deterministic local fixture evidence only; no live-provider production or human-acceptance claim,Connector event IDs correlate to CornerStone audit without secrets or raw payloads,Audit contract and tamper tests,AI,PASS,reports/scenario/connector-contract-adapter/scenarios/CS-CH-037.json
CS-CH-038,MUST_PASS,Version contracts pin Provider Packs and migrate safely,CH-0,IR-15;IR-16,local_fixture,deterministic local fixture evidence only; no live-provider production or human-acceptance claim,Pinned versions remain active until reviewed and incompatible upgrades block activation,Compatibility and migration fixtures,AI,PASS,reports/scenario/connector-contract-adapter/scenarios/CS-CH-038.json
CS-CH-039,REGRESSION_GUARD,Present one CornerStone product not a ConnectorHub sub-product,CH-0,IR-01;IR-12;IR-16,local_fixture,deterministic local fixture evidence only; no live-provider production or human-acceptance claim,Users see one CornerStone experience with connector internals as admin details,UI navigation copy scan and onboarding test,AI,PASS,reports/scenario/connector-contract-adapter/scenarios/CS-CH-039.json
CS-CH-040,REGRESSION_GUARD,Separate fixture proof from live and production claims,CH-0,ER-07;ER-08;ER-09;IR-13;IR-18,local_fixture,deterministic local fixture evidence only; no live-provider production or human-acceptance claim,Reports keep fixture live human and production readiness claims distinct,Report-lint and evidence manifest review,AI,PASS,reports/scenario/connector-contract-adapter/scenarios/CS-CH-040.json
CS-CH-H01,HUMAN_REQUIRED,Human GitHub read-only rehearsal,CH-2,ER-06;IR-13,human_required,human/external evidence required; no AI PASS claim,Real selected-repository read-only proof shows zero write capability or calls,Human external account rehearsal,Human,HUMAN_REQUIRED,cornerstone connector human-gate report --json plus docs/verification-reports/CONNECTOR_HUB_CS_CH_H01_HUMAN_REVIEW_TEMPLATE_2026-06-24.md plus redacted permissions selected repos call ledger deliveries audit refs zero-write proof
CS-CH-H02,HUMAN_REQUIRED,Human macOS permission walkthrough,CH-3,ER-05;IR-14,human_required,human/external evidence required; no AI PASS claim,Capture follows visible consent and stops on pause or revoke,Physical-device walkthrough,Human,HUMAN_REQUIRED,cornerstone connector human-gate report --json plus docs/verification-reports/CONNECTOR_HUB_CS_CH_H02_HUMAN_REVIEW_TEMPLATE_2026-06-24.md plus recording screenshots status transcript first sample pause revoke timestamps
CS-CH-H03,HUMAN_REQUIRED,Human Chrome privacy review,CH-3,ER-05;IR-14,human_required,human/external evidence required; no AI PASS claim,Chrome setup capture allowlist sensitive blocking pause and revoke match contract,Human browser privacy review,Human,HUMAN_REQUIRED,cornerstone connector human-gate report --json plus docs/verification-reports/CONNECTOR_HUB_CS_CH_H03_HUMAN_REVIEW_TEMPLATE_2026-06-24.md plus recording screenshots permission pages timeline issues accept or reject note
CS-CH-H04,HUMAN_REQUIRED,Human production-like VS2 integrated security proof,CH-1,IR-04;IR-18,human_required,human/external evidence required; no AI PASS claim,Connector operations enforce scope policy egress backup restore and audit under real topology,Production-like verification,Human,HUMAN_REQUIRED,cornerstone connector human-gate report --json plus docs/verification-reports/CONNECTOR_HUB_CS_CH_H04_HUMAN_REVIEW_TEMPLATE_2026-06-24.md plus DB policy network transcripts reports backup restore evidence
CS-CH-H05,HUMAN_REQUIRED,Human live non-GitHub Action execution,CH-4,IR-11;IR-13;IR-18,human_required,human/external evidence required; no AI PASS claim,Approved live declared Action changes provider state exactly once with safety evidence,Human external mutation,Human,HUMAN_REQUIRED,cornerstone connector human-gate report --json plus docs/verification-reports/CONNECTOR_HUB_CS_CH_H05_HUMAN_REVIEW_TEMPLATE_2026-06-24.md plus approval redacted request result provider receipt state idempotency audit and GitHub exclusion proof
CS-CH-H06,HUMAN_REQUIRED,Human connected-source usability trust study,CH-3,IR-01;IR-14;IR-16,human_required,human/external evidence required; no AI PASS claim,Representative user can complete Connected Sources and Capture Inbox tasks,Human usability study,Human,HUMAN_REQUIRED,cornerstone connector human-gate report --json plus docs/verification-reports/CONNECTOR_HUB_CS_CH_H06_HUMAN_REVIEW_TEMPLATE_2026-06-24.md plus timed task notes screenshots recording scoring rubric acceptance decision
CS-CH-H07,HUMAN_REQUIRED,Human recovery exercise,CH-1,IR-07;IR-17;IR-18,human_required,human/external evidence required; no AI PASS claim,Backup restore cursor reconciliation and audit verification recover connector state,Operator recovery exercise,Human,HUMAN_REQUIRED,cornerstone connector human-gate report --json plus docs/verification-reports/CONNECTOR_HUB_CS_CH_H07_HUMAN_REVIEW_TEMPLATE_2026-06-24.md plus backup restore logs reconciled cursors replay results audit verification
