scenario_id,priority,related_requirements,given,when,then,implementation_area,verification,evidence,initial_status
VS2-SEC-011,MUST_PASS,"ER-01, ER-08, ER-09; IR-05","Tenant B owns an original blob, derived representation, EvidenceBundle item, or storage URI referenced by an identifier guessed by tenant A.","Tenant A requests the object, download, signed URL, or evidence traversal.",Access is denied without revealing content or sensitive metadata; storage access is bound to the authorized tenant and object.,"Artifact service policy, tenant-scoped storage keys/signing, evidence traversal checks.",API/object-store adapter tests using guessed IDs and cross-tenant evidence links.,"Denied responses, zero bytes returned, storage access log, policy/audit refs.",NOT_RUN
VS2-SEC-012,MUST_PASS,"ER-01, ER-07; IR-05, IR-10","Audit events, policy decisions, operator metrics, exports, and status records exist for multiple tenants.",A tenant-scoped user queries or exports them.,Only authorized tenant records and aggregated non-sensitive metrics are visible; system-wide access requires explicit privileged policy.,"RLS/policy for audit and policy tables, tenant-aware metrics/export layer.","API/DB tests for tenant user, tenant admin, and system operator fixtures.","Scoped exports, role matrix, denial logs, no cross-tenant event IDs.",NOT_RUN
VS2-SEC-013,MUST_PASS,ER-01; IR-03,The application connects to Postgres using its normal runtime role.,Role and table security attributes are inspected and protected queries run.,"The role is not superuser, table owner, or BYPASSRLS; protected tables have RLS enabled and forced where the design requires owner protection.","Dedicated migration owner and application roles, FORCE ROW LEVEL SECURITY, grants.","Database metadata assertions over pg_roles, pg_class, pg_policies, and ownership.",Role inventory showing rolsuper=false and rolbypassrls=false; relrowsecurity/relforcerowsecurity report.,NOT_RUN
VS2-SEC-014,MUST_PASS,"ER-01, ER-07; IR-03","An operator needs cross-tenant maintenance, recovery, or investigation.",A break-glass or maintenance path is requested.,"Normal app credentials cannot perform it; the privileged path requires explicit authorization, purpose, time bound, audit, and safe output handling.","Separate maintenance role/workflow, approval record, scoped admin commands.",Integration rehearsal with denied app role and approved synthetic break-glass role.,"Approval record, role assumption/revocation timestamps, accessed row counts, audit trail.",NOT_RUN
VS2-SEC-015,MUST_PASS,ER-01; IR-02,A pooled database connection previously served tenant A.,"The same physical connection is reused for tenant B, on success, error, timeout, cancellation, and rollback paths.",Tenant context is transaction-local and reset; tenant B never sees tenant A state or rows.,"Connection checkout/checkin hooks, SET LOCAL context, transaction discipline.",Pool stress test that alternates tenants and injects failures/cancellations.,"Connection IDs with tenant sequence, zero canary leakage, reset assertions.",NOT_RUN
VS2-SEC-016,MUST_PASS,"ER-01; IR-02, IR-10",Concurrent tenant-A and tenant-B requests use the same service and pool.,Reads and writes interleave under load.,"Each request remains isolated; no cross-request context, cache, result, or audit correlation is mixed.","Async context propagation, pool discipline, tenant-scoped caches.",Concurrent integration test with unique canaries and randomized scheduling.,"Load transcript, per-request trace IDs, zero foreign canaries, no mixed audit refs.",NOT_RUN
VS2-SEC-017,MUST_PASS,"ER-01, ER-05; IR-02","A background job, retry, scheduled task, extraction worker, or workflow continuation processes tenant-owned work.","The job executes with valid, missing, stale, or tampered scope metadata.",Valid jobs run only in their tenant; missing/tampered jobs fail closed or quarantine; retries preserve scope and idempotency.,"Signed/validated job envelope, worker RequestContext, quarantine and retry policy.","Worker integration tests for valid, missing, changed, replayed, and cross-tenant envelopes.","Job envelope digest, worker decision, quarantine/retry record, scoped DB/audit trace.",NOT_RUN
VS2-SEC-018,MUST_PASS,"ER-01; IR-03, IR-04","Protected data is accessed through SQL views, functions, stored procedures, ORM raw SQL, or security-definer code.",The application role invokes each supported path.,No path bypasses tenant isolation; unsafe security-definer or owner-context access is rejected by CI or explicitly governed.,"Database function/view security review, restricted EXECUTE grants, repository lint.",Database integration tests plus static inventory of views/functions/security-definer objects.,"Object inventory, grants, cross-tenant tests, lint report.",NOT_RUN
VS2-SEC-019,MUST_PASS,"ER-01; IR-03, IR-10",Tenant A attempts writes that collide with tenant-B unique keys or reference tenant-B foreign keys.,The database validates constraints.,"Errors do not reveal tenant-B values/existence; keys are tenant-scoped where required, and unsafe cross-tenant references are impossible.","Composite tenant keys, tenant-aware foreign keys, neutral error translation.",DB/API tests for duplicate and foreign-key boundary cases.,"Schema definitions, neutral errors, unchanged data, no foreign identifiers.",NOT_RUN
VS2-SEC-020,MUST_PASS,"ER-01, ER-09; IR-04, IR-11",Existing local/scaffold records or imported archive rows are migrated to the VS2 schema.,"A row has known, missing, ambiguous, or invalid tenant/namespace ownership.",Known rows migrate deterministically; unknown/ambiguous rows are quarantined or block migration; no ownerless global truth is created.,"Backfill mapping, quarantine table/report, NOT NULL/foreign-key constraints.","Migration tests on clean, mixed, malformed, duplicate, and rollback fixtures.","Migration report with counts/checksums, quarantine reasons, rollback transcript.",NOT_RUN
VS2-SEC-021,MUST_PASS,"ER-01; IR-04, IR-13","A migration adds or changes a tenant-bearing table, partition, materialized view, or policy.",CI runs the schema security inventory.,"The gate fails unless tenant columns, RLS enable/force state, command policies, grants, and test coverage are declared.","Schema linter/inventory script, migration checklist, CI gate.","Failing fixture migration, passing corrected migration, machine-readable inventory.","Schema inventory report, expected failing gate, passing migration evidence.",NOT_RUN
VS2-SEC-022,MUST_PASS,"ER-04, ER-09; IR-05","Two namespaces/workspaces exist inside the same tenant, such as Personal and Organization.","A principal accesses, searches, or uses context across them.","RLS tenant access alone is insufficient; service/OPA policy enforces namespace, owner, membership, classification, and explicit promotion rules.","Namespace policy input, service authorization, scoped queries.",Integration matrix for same-tenant personal/org/team/project access.,"Allow/deny decisions, zero implicit context use, provenance on allowed promotion.",NOT_RUN
VS2-SEC-023,MUST_PASS,"ER-01, ER-09; IR-05","A user attempts copy, reference, share, or promotion from tenant A to tenant B.",The transfer request is evaluated.,"The operation is denied at product, policy, and storage layers; no target row, link, blob, or metadata is created.","Cross-tenant invariant in domain service, OPA policy, RLS constraints.",API/CLI/DB test for every transfer mode.,"Denied policy decision, zero target records, audit event, negative-evidence counters.",NOT_RUN
VS2-SEC-024,MUST_PASS,"ER-01; IR-05, IR-07","Caches, idempotency keys, deduplication indexes, locks, rate limits, and saved cursors are used by multiple tenants.",Two tenants submit identical IDs/content/keys or concurrent operations.,"Keys are tenant-scoped unless intentionally global and non-sensitive; one tenant cannot read, suppress, replay, or infer another tenant's operation.","Tenant-prefixed cache/idempotency keys, composite indexes, scoped locks.",Collision and replay tests across two tenants.,"Key snapshots/digests, independent results, zero cross-tenant cache hits.",NOT_RUN
VS2-SEC-025,MUST_PASS,"ER-01, ER-07; IR-11",Tenant-scoped export and privileged full backup/restore paths exist.,Exports and a local backup→restore rehearsal run.,"Tenant export contains only authorized rows; privileged backup is complete, restore preserves RLS/policies/audit, and filtered backups cannot silently omit protected rows.","Export service, backup role/procedure, restore verification, policy migration.",Automated local backup/restore and per-tenant export tests with row/hash counts.,"Backup manifest, restored counts/hashes, RLS inventory before/after, tenant export diff.",NOT_RUN
VS2-SEC-026,MUST_PASS,"ER-02, ER-04, ER-05; IR-06","A protected data, tool, action, connector, model, policy-admin, or memory operation is requested.",The product constructs an OPA input document.,"Input follows one versioned schema containing trusted subject, tenant/namespace/workspace, resource, action, classification, mission authority, risk, data scope, connector/tool capability, and environment fields.","Versioned PolicyInput schema, builders per enforcement point, schema validation.",Contract tests and golden inputs for every operation family.,"Schema file, valid/invalid fixtures, input digest and source-of-attribute map.",NOT_RUN
VS2-SEC-027,MUST_PASS,"ER-02, ER-04",A principal has the required role and membership for a low-risk operation.,OPA evaluates the operation.,The request is allowed only for the declared resource/action/scope and the allow decision is auditable.,Rego RBAC rules and role data.,OPA unit tests plus product integration allow cases.,"opa test JSON, allow decision with bundle revision, downstream success/audit.",NOT_RUN
VS2-SEC-028,MUST_PASS,"ER-02, ER-04, ER-06",A principal lacks a required role or approval authority.,"The principal reads, writes, approves, executes, or configures a protected resource.",OPA denies with a non-leaking reason and safe resolution path; downstream mutation/egress does not occur.,"Rego deny rules, reason mapping, enforcement adapter.",Role/action access-control matrix tests.,"Denied decisions, zero side effects, stable error and audit references.",NOT_RUN
VS2-SEC-029,MUST_PASS,"ER-02, ER-04","Role alone would allow an operation, but attributes such as namespace, classification, mission authority, workspace mode, environment, or risk disallow it.",OPA evaluates the request.,ABAC conditions deny or escalate it; a matching allowed attribute set succeeds.,"Rego ABAC rules, classification/risk taxonomy, mission/workspace inputs.",Data-driven OPA tests at each attribute boundary.,"Allow/deny/escalate matrix, reason codes, policy coverage report.",NOT_RUN
VS2-SEC-030,MUST_PASS,"ER-02, ER-03; IR-06","A resource type, action, tool, connector capability, model, or policy path is unknown or returns undefined.",The enforcement adapter evaluates it.,"The normalized result is deny, never implicit allow, with an unknown-policy reason and resolution.",Default-deny Rego rules and undefined-result adapter.,"OPA/product tests for typos, new enum values, missing rule paths, and undefined output.","Denied outputs, no downstream calls, audit decision.",NOT_RUN
VS2-SEC-031,MUST_PASS,"ER-02, ER-06; IR-06","OPA input is partial, malformed, over-specified, wrong-versioned, or contains unexpected authoritative attributes.",The policy endpoint receives it.,Schema validation fails closed; errors identify safe corrective action without echoing secrets or protected values.,"Strict input schema, version negotiation, unknown-field policy, redaction.",Fuzz/property tests and boundary fixtures.,"400/deny transcripts, zero evaluation/side effects as appropriate, sanitized logs.",NOT_RUN
VS2-SEC-032,MUST_PASS,"ER-02, ER-03; IR-07",The OPA service is running in the local/on-prem profile.,A local authorized client and an unauthorized/remote client access its APIs.,"OPA is bound to the intended interface, protected by the chosen authentication/transport controls, and management/data APIs are not anonymously exposed.","OPA hardened configuration, network binding, client authentication/authorization.",Container/network tests from allowed and disallowed peers.,"OPA config, listening sockets, successful authorized call, denied unauthorized call.",NOT_RUN
VS2-SEC-033,MUST_PASS,ER-05,A request reaches the API gateway.,Gateway policy denies it.,"The request does not reach the service handler, database, tool runtime, model router, or connector.",Gateway middleware/enforcement point and trace propagation.,Integration test with handler/DB/tool call counters.,"Gateway decision, zero downstream counters, trace/audit record.",NOT_RUN
VS2-SEC-034,MUST_PASS,ER-05,A caller bypasses or originates behind the gateway and invokes a protected service method.,Service-layer policy denies it.,"No protected read, mutation, tool, model, or connector operation occurs.",Service authorization decorator/interceptor and repository guards.,Direct service/API-internal integration tests.,"Service decision, zero repository/tool/connector calls, audit event.",NOT_RUN
VS2-SEC-035,MUST_PASS,"ER-03, ER-05",A tool or Agent Pack receives a request that gateway/service policy allowed but runtime capability policy denies.,"The tool attempts filesystem, environment, host, shell, or network access.",The runtime blocks the undeclared capability and records negative evidence; upstream allow cannot bypass runtime enforcement.,"Capability sandbox, tool policy adapter, runtime audit.",Real sandbox integration test for each capability class.,"Runtime denial, zero operations/bytes/calls, policy and audit refs.",NOT_RUN
VS2-SEC-036,MUST_PASS,"ER-01, ER-02, ER-05",Service policy mistakenly allows or is bypassed for a cross-tenant database query.,The application role executes the query.,"Postgres RLS still prevents access, proving defense in depth; the anomaly is observable.","RLS independent of service decision, anomaly logging.",Fault-injection integration test that stubs an allow at service layer.,"Service allow + DB zero rows/denial, anomaly audit/metric.",NOT_RUN
VS2-SEC-037,MUST_PASS,"ER-02, ER-05, ER-13","An ActionCard or WorkflowRun requests internal mutation, risky action, or external side effect.","Policy evaluates dry-run, approval, and execution phases.",Allowed low-risk behavior follows mission/workspace authority; high-risk behavior escalates/requires approval; execution rechecks policy and cannot bypass Workflow/Action.,"Action policy entrypoints, risk rules, workflow gate.",Action lifecycle integration matrix.,"Dry-run, policy decisions, approval state, execution/denial, audit timeline.",NOT_RUN
VS2-SEC-038,MUST_PASS,"ER-02, ER-05",A workspace policy allows or disallows model providers based on classification or on-prem requirements.,The model router selects a provider.,Disallowed providers are blocked or safely rerouted with explanation; no request/data is sent to them.,"Policy-aware model router, provider capability metadata.",Router integration test with local_test and denied external provider fixtures.,"Routing decision, zero disallowed provider calls, explanation and audit refs.",NOT_RUN
VS2-SEC-039,MUST_PASS,"ER-02, ER-08","A workflow, agent, or extension requests provider data, credentials, raw access, or an external action.",Policy and ConnectorHub capability checks run.,Only declared ConnectorHub-mediated capabilities proceed; raw credentials/provider clients/direct API handles remain inaccessible; CornerStone retains product approval ownership.,"ConnectorHub handoff envelope, capability policy, credential references only.",Contract tests with declared/undeclared capability and raw-secret probes.,"Setup/preflight result, policy decision, zero raw secrets, connector and CornerStone audit refs.",NOT_RUN
VS2-SEC-040,MUST_PASS,ER-02; IR-06,The Rego policy bundle contains all VS2 entrypoints.,CI runs policy tests.,"All positive, negative, malformed, boundary, and regression cases pass; no-test execution fails; a machine-readable coverage report is produced and reviewed against declared entrypoints.","Rego unit/data-driven tests, entrypoint manifest, CI commands.",Run `opa test ... --fail-on-empty --coverage --format=json` plus bundle build/check.,"OPA test JSON, coverage JSON, entrypoint coverage map, exit code 0.",NOT_RUN
VS2-SEC-041,MUST_PASS,"ER-02, ER-07; IR-07",A valid new policy bundle is published.,OPA downloads and activates it while requests continue.,Activation is atomic; decisions identify the active revision; no request observes a partial mix; the previous revision remains traceable.,"Versioned bundle build/service, revision metadata, status monitoring.",Concurrent evaluation during bundle update.,"OPA status before/after, revision transition, decision sample set, zero mixed/undefined results.",NOT_RUN
VS2-SEC-042,MUST_PASS,"ER-02, ER-07; IR-07","A bundle is malformed, fails Rego tests/compile, has incompatible schema, or cannot activate.",The update is attempted.,"Activation fails, the last known good bundle remains active (or protected operations fail closed if none exists), and status/error is visible without exposing secrets.","Pre-activation validation, persisted last-known-good, readiness/status integration.",Bundle failure injection tests including first-start failure.,"OPA status/error, unchanged active revision, decisions under failure, operator alert.",NOT_RUN
VS2-SEC-043,MUST_PASS,"ER-02, ER-03, ER-05; IR-07","OPA is unavailable, slow, returns invalid output, or times out.","A protected read, write, tool, action, connector, or model request is made.","The operation fails closed or follows an explicitly documented safe read-only fallback; readiness degrades, and no risky side effect/egress occurs.","Policy client timeout/circuit breaker, fail-closed adapter, readiness.","Fault-injection tests for connection refused, timeout, 5xx, malformed JSON.","Stable denial/error, zero side effects, readiness/metric/audit evidence.",NOT_RUN
VS2-SEC-044,MUST_PASS,ER-02; IR-07,An allow decision is cached and policy/membership is then revoked or bundle revision changes.,The same operation is retried.,"The stale allow is not reused beyond the documented bound; cache keys include tenant, principal, resource, action, and revision.",Revision-aware decision cache and invalidation.,Allow→revoke/update→retry tests across tenants.,"Cache keys/digests, new decision revision, denial, zero stale allows.",NOT_RUN
VS2-SEC-045,MUST_PASS,"ER-06, ER-07; IR-06, IR-10",Policy decisions contain potentially sensitive input fields.,Decision logging and CornerStone audit mirroring run.,"Each event has decision_id, policy path/revision, tenant-safe correlation, and masked/redacted sensitive fields; logs are linkable but not a secret store.","OPA decision logging/masking policy, audit adapter, redaction.",Secret-bearing fixture through allow and deny decisions.,"Decision log with masked fields, CornerStone audit ref, zero secret scanner findings.",NOT_RUN
VS2-SEC-046,MUST_PASS,"ER-02, ER-07; IR-11","A user proposes a policy, role, tenant-isolation, egress, retention, or audit configuration change.",The change is reviewed/applied.,"It is represented as a sensitive governed change with diff, impact, tests, policy decision, authorized approval, version, rollback, and audit; direct mutation is blocked.","Policy-admin ActionCard/Workflow, bundle pipeline, rollback metadata.",Integration test for draft→dry-run→approve→activate→rollback and direct bypass denial.,"Action/workflow records, bundle revisions, approvals, before/after decisions, rollback transcript.",NOT_RUN
VS2-SEC-047,MUST_PASS,ER-06,"A user is denied data, action, model, connector, tool, egress, or policy-admin access.","The error is shown through API, CLI, and UI.","The response states safe cause, impact, retry/request-access/change-scope/approver resolution where applicable, and what remains preserved, without exposing protected data.","Reason-code catalog, error translation, UI denial component.",Golden API/CLI/browser tests for major denial classes.,"Response snapshots/screenshots, stable codes, matching decision/audit refs, leak scan.",NOT_RUN
VS2-SEC-048,MUST_PASS,"ER-02, ER-06; IR-06","Policy input/output is at, below, and above configured size/depth/list limits, or contains unknown enum values.",The request is evaluated.,"At/below-limit requests behave deterministically; over-limit/unsupported requests fail safely with helpful errors, bounded resource use, and no partial side effect.","Documented policy limits, parser/schema guards, time/memory limits.",Boundary-value and property/fuzz tests using configuration-derived N-1/N/N+1 cases.,"Limit configuration, test corpus, resource metrics, stable failures.",NOT_RUN
VS2-SEC-049,MUST_PASS,"ER-02, ER-04; IR-06","Multiple policy rules apply, including an allow and a restrictive deny/escalation.",The aggregate decision is computed.,The documented conservative precedence is deterministic; restrictive tenant/security/risk rules cannot be accidentally overridden by a permissive rule.,"Decision aggregation policy, explicit deny/escalate precedence.",OPA data-driven conflict tests.,"Conflict matrix, final reason list, bundle revision, no accidental allow.",NOT_RUN
VS2-SEC-050,MUST_PASS,"ER-02, ER-05, ER-10","The same policy input is evaluated at gateway, service, tool runtime, and native CLI.",All enforcement points evaluate it against the same active revision.,"Materially equivalent decisions are produced; any mismatch fails closed, emits an anomaly, and cannot lead to a side effect.","Shared schema/client, revision pinning/correlation, mismatch guard.",Cross-enforcement conformance test and deliberate mismatch injection.,"Decision comparison report, mismatch denial, anomaly audit/metric.",NOT_RUN
VS2-SEC-051,MUST_PASS,"ER-03, ER-05; IR-08",A real tool/runtime process has no egress grant and a local egress-sink endpoint is reachable at the network layer.,The process attempts an outbound connection using supported HTTP and socket paths.,"The connection is blocked by the runtime/network boundary, not merely skipped by application logic; the sink records zero requests/bytes.","Sandbox/network policy or enforced egress proxy, denial adapter.",Container/process integration test with local egress sink and packet/request counters.,"Denied tool result, sink access log with zero requests, network counter, policy/audit refs.",NOT_RUN
VS2-SEC-052,MUST_PASS,"ER-02, ER-03, ER-08","A tool/workflow has a declared ConnectorHub capability, tenant/workspace authorization, allowed mock destination, and required approval.",It calls the local mock provider through the governed egress path.,"Exactly the declared call succeeds; evidence, policy, approval, connector result, and audit are linked; no undeclared call occurs.","ConnectorHub-mediated egress adapter, allow policy, mock provider.",End-to-end local integration test.,"One sink request, sanitized request metadata, Action/Workflow/Connector result, decision/audit refs.",NOT_RUN
VS2-SEC-053,MUST_PASS,"ER-01, ER-03; IR-05",Tenant A has an egress allow rule and tenant B does not.,Both tenants request the same destination/capability.,Tenant A follows its governed path; tenant B is denied; allowlist/cache/config does not bleed across tenants.,Tenant-scoped egress policy data and cache keys.,Two-tenant egress integration test.,"A success/B denial, separate decisions, sink count exactly one.",NOT_RUN
VS2-SEC-054,MUST_PASS,ER-03; IR-08,"An egress policy declares allowed scheme, hostname, port, method, path/capability, and data scope.",Calls vary each field and use URL normalization variants.,"Only exact normalized permitted combinations pass; case, trailing-dot, encoded path, alternate port, wildcard, or method variations cannot broaden access.","Canonical URL/destination parser, structured allow rules.",Table-driven boundary tests.,"Per-case decisions, sink logs, normalization output, zero unexpected calls.",NOT_RUN
VS2-SEC-055,MUST_PASS,ER-03; IR-08,"A caller targets IP literals, loopback, private, link-local, multicast, Unix sockets, cloud metadata ranges, or a public name resolving to them.",The tool attempts connection without a purpose-specific internal capability.,The runtime denies the destination before sending data and records a safe reason.,"Resolved-address validation, reserved-range policy, internal-capability model.",IPv4/IPv6 destination matrix against local fixtures.,"Denied decisions, zero sink/metadata requests, sanitized destination class.",NOT_RUN
VS2-SEC-056,MUST_PASS,ER-03; IR-08,"An allowed hostname resolves first to an allowed address and then to a denied/private address, or resolves to mixed addresses.",Connection is attempted across resolution/retry.,Resolved addresses are validated at connection time; denied addresses are never contacted; policy cannot be bypassed by DNS rebinding.,"Resolver integration, address pinning/revalidation, connection guard.",Deterministic fake-DNS rebinding test.,"DNS transcript, selected/blocked addresses, zero denied-address connections.",NOT_RUN
VS2-SEC-057,MUST_PASS,ER-03; IR-08,"An allowed endpoint redirects to a denied host, scheme, port, or path.",The HTTP client follows redirects.,"Every hop is re-authorized; the denied hop is blocked, redirect limits apply, and no sensitive header is forwarded across unauthorized boundaries.",Redirect-aware governed HTTP client.,Mock redirect-chain tests including loops and cross-host redirects.,"Hop-by-hop decisions, sink logs, header redaction, bounded redirect count.",NOT_RUN
VS2-SEC-058,MUST_PASS,"ER-03, ER-05; IR-08","A tool attempts to bypass governed HTTP using proxy environment variables, direct sockets, alternate DNS, WebSocket/FTP/SMTP, subprocess, or a bundled client.",The process runs in the VS2 sandbox.,Undeclared protocols and paths remain blocked at the network/capability boundary; no arbitrary shell/host privilege is gained.,"Network namespace/proxy enforcement, environment sanitization, syscall/capability restrictions.",Adversarial sandbox integration suite.,"Zero unauthorized connections/processes, denied capability records, runtime audit.",NOT_RUN
VS2-SEC-059,MUST_PASS,"ER-03, ER-12","An Artifact, web page, connector payload, tool output, or prompt contains instructions to call a URL, exfiltrate data, change policy, or approve an action.",The content is processed by an agent/workflow.,"It remains untrusted evidence; it cannot create authority, egress grants, policy changes, approvals, or tool/action execution.","Untrusted-content labeling, agent/tool boundary, policy gate.",Prompt-injection red-team fixtures across artifact and connector paths.,"Zero tool/action/egress calls, blocked-attempt audit, untrusted label/evidence refs.",NOT_RUN
VS2-SEC-060,MUST_PASS,"ER-03, ER-08; IR-10",An allowed external call needs provider authentication or contains sensitive payload fields.,The governed ConnectorHub path prepares and executes it.,Agents/product outputs never receive raw credentials; least data is sent; denied calls send nothing; logs/decisions/audit mask secrets and sensitive payload.,"ConnectorHub credential custody, request projection/redaction, log masking.",Secret-canary integration tests for allowed and denied calls.,"Sink metadata without raw secret, zero secret scanner findings, credential reference only.",NOT_RUN
VS2-SEC-061,MUST_PASS,"ER-02, ER-03, ER-13; IR-09",An Action dry-run predicts external calls and is then approved or delayed.,"Policy, allowlist, data, approval, or destination changes before execution.","Execution detects stale dry-run state, re-evaluates current policy and impact, and blocks or requires renewed approval; it never relies solely on the old allow.","Dry-run fingerprint, policy revision binding, execution recheck.",Allow-at-dry-run → revoke/change → execute test.,"Dry-run and execution decision revisions, stale-state denial, zero sink calls.",NOT_RUN
VS2-SEC-062,MUST_PASS,"ER-03, ER-07; IR-09","An allowed external operation times out, returns retryable failure, or receives duplicate execution requests.",Workflow retry logic runs.,"Timeout/retry limits are bounded, idempotency is tenant-scoped, and duplicate real/mock side effects are prevented or explicitly compensated.","Workflow retry/timeout/idempotency, ConnectorHub action keys.",Mock provider fault and duplicate-request tests.,"Attempt timeline, one side effect maximum, idempotency key scope, compensation/audit record.",NOT_RUN
VS2-SEC-063,MUST_PASS,"ER-03, ER-07; IR-10",Allowed and denied egress attempts occur.,"Operators inspect policy, connector, runtime, and CornerStone audit/metrics.","Records correlate tenant-safe trace, decision, action/workflow, connector capability, normalized destination class, outcome, and byte/call counts without storing secrets or raw payloads.","Egress audit schema, metrics, trace correlation, redaction.",Integration plus log/metric contract tests.,"Correlated records, counter assertions, decision IDs, secret-scan report.",NOT_RUN
VS2-SEC-064,MUST_PASS,"ER-03, ER-05; IR-07, IR-08",The egress controller/proxy/sandbox policy component is unavailable or misconfigured.,"A tool attempts network, shell, filesystem, environment, or host access.",Protected capabilities fail closed; readiness reports the degraded component; no fallback direct connection or host access occurs.,"Fail-closed sandbox wiring, readiness dependencies, no direct-client fallback.",Stop/disable controller and repeat capability tests.,"Degraded readiness, denied operations, zero sink/host counters, operator guidance.",NOT_RUN
